Date,Article Title,Operative,City/Town,State/Provence,Country,Reference,NumberPeopleAffected,OutageDurationMinutes
2/19/2017,Power outage reported in Brown County,unknown,Bellevue,WI,United States,http://www.nbc26.com/news/power-outage-reported-in-brown-county,"3,300",
2/19/2017,Squirrel's amateur electrical efforts leaves 262 without power,Squirrel,Ottowa,ON,Canada,http://ottawacitizen.com/news/local-news/squirrels-amateur-electrical-efforts-leaves-262-without-power,262,
2/17/2017,Steenmarter legt deel van stroomnet plat,Marten,Groningen,,Netherlands,http://www.rtvnoord.nl/nieuws/174304/Steenmarter-legt-deel-van-stroomnet-plat,"27,000",6
2/16/2017,"Power Outage to 700 cust. on HWY 11 N, & part of Thibeault Hill caused by squirrel contact on Hearst St.  Outage restored within 10 mins.",Squirrel,North Bay,ON,Canada,https://twitter.com/NBHydro/status/832272510255300613,700,10
2/15/2017,"Squirrel knocks out power to hundreds in Laureldale, Muhlenberg",Squirrel,Laureldale,PA,United States,http://www.wfmz.com/news/berks/hundreds-lose-electricity-in-laureldale-muhlenberg/334734252,,67
2/14/2017,"Update - Power restored to 3,200 customers in Trim",Bird,Trim,County Meath,Ireland,http://www.meathchronicle.ie/news/roundup/articles/2017/02/14/4134856-major-power-outage-in-trim/,"4,400",
2/13/2017,Power outage fixed in Lakeland Highlands area,Bird,Lakeland,FL,United States,http://www.theledger.com/news/20170213/power-outage-fixed-in-lakeland-highlands-area,138,20
2/12/2017,Power outage to approximately 700 customers in the Pinewood area restored at 1:40pm. Cause was squirrel contact at a pole on Nipissing St.,Squirrel,North Bay,ON,Canada,https://twitter.com/NBHydro/status/830855305223368704,700,
2/9/2017,Power outage in Auburn area caused by 'squirrel contact',Squirrel,Auburn,NY,United States,http://auburnpub.com/news/local/updated-power-outage-in-auburn-area-caused-by-squirrel-contact/article_bcbc8412-eed7-11e6-81df-b350d881004f.html,"1,253",112
2/8/2017,Saugus Police log Feb. 8,Squirrel,Saugus,MA,United States,http://saugus.wickedlocal.com/news/20170213/saugus-police-log-feb-8,,
2/8/2017,Downtown Bangor loses power during lunch hour,Squirrel,Bangor,ME,United States,https://bangordailynews.com/2017/02/08/news/bangor/downtown-bangor-loses-power/,312,90
2/7/2017,Animal Disrupts Power at Smithboro Substation,Unknown,Smithboro,IL,United States,http://www.sweci.com/Home/News-and-Information/News-Room.aspx/2017/02/07/Animal-Disrupts-Power-at-Smithboro-Substation,560,80
2/7/2017,Dengie Amateur Music Group panto cancelled due to blackout caused when swan flew into power cables,Bird,Clacton-on-Sea,Essex,United Kingdom,http://www.clactonandfrintongazette.co.uk/news/north_essex_news/15073641.Panto_cancelled_due_to_blackout_caused_when_swan_flew_into_power_cables/,128,
2/6/2017,power out in that area from animal contact. Power due back on by 10 am. Thanks,Squirrel,North Canton,OH,United States,https://twitter.com/AEPnews/status/828606515418431489,,
2/2/2017,A large bird provides power failure,Bird,Leutkirch im Allgäu,,Germany,"http://www.schwaebische.de/region_artikel,-Ein-grosser-Vogel-sorgt-fuer-Stromausfall-_arid,10608181_toid,407.html",,71
1/30/2017,A squirrel is the cause for power outage throughout most of Western Wilson county.,Squirrel,Floresville,TX,United States,https:/twitter.com/matternst34/status/826192079554543618,,
1/30/2017,Mumbai-Solapur rail traffic hit as monkey gets electrocuted,Monkey,Mumbai,,India,http://indiatoday.intoday.in/story/mumbai-solapur-rail-traffic-hit-as-monkey-gets-electrocuted/1/869911.html,,
1/29/2017,"Power outage affects 6,000-plus customers",Squirrel,Hazel Dell,WA,United States,http://www.columbian.com/news/2017/jan/29/power-outage-affects-6000-plus-customers-hazel-dell/,"6,269",90
1/27/2017,15 Wild geese fly in high voltage line: power failure,Bird,Ering,Bavaria,Germany,http://www.pnp.de/region_und_lokal/landkreis_rottal_inn/simbach/2380810_15-Wildgaense-fliegen-in-Hochspannungsleitung-Stromausfall.html,,60
1/27/2017,"Squirrel causes 9,000 customers to lose power in North Lakeland",Squirrel,North Lakeland,FL,United States,http://www.theledger.com/news/20170127/squirrel-causes-9000-customers-to-lose-power-in-north-lakeland,"9,000",90
1/26/2017,Outage caused by a squirrel contacting a piece of equipment.,Squirrel,Liberty Grove,WI,United States,https://twitter.com/WIPublicService/status/824670884027834369,,
1/26/2017,Squirrel causes morning power outage,Squirrel,Ephraim,WI,United States,http://www.greenbaypressgazette.com/story/news/local/door-co/news/2017/01/26/power-out-northern-door-county/97083646/,250,90
1/25/2017,Squirrel Nest Starts Fire in New Brunswick,Squirrel,New Brunswick,NJ,United States,https://www.tapinto.net/towns/new-brunswick/articles/squirrel-nest-starts-fire-in-new-brunswick,,
1/24/2017,Squirrel to Blame for South Side Outage,Squirrel,Terre Haute,IN,United States,http://www.mywabashvalley.com/news/squirrel-to-blame-for-south-side-outage/644950703,,
1/20/2017,Bird sparked Currandooley fire: RFS,Bird,Tarago,NSW,Australia,http://www.goulburnpost.com.au/story/4416425/bird-caused-currandooley-fire/,,
1/20/2017,Bird causes third MEC outage,Bird,Bullhead City,AZ,United States,http://www.mohavedailynews.com/news/bird-causes-third-mec-outage/article_314a1f56-dede-11e6-a6ee-4f4c1b7a61ad.html,"2,242",103
1/20/2017,Power restored in Sunny Heights on Pueblo’s South Side,Squirrel,Pueblo,CO,United States,http://www.chieftain.com/news/5560394-120/black-energy-heights-hills,"1,184",
1/18/2017,"Rat causes power outage, forces Orleans criminal court to close",Rat,New Orleans,LA,United States,http://www.wwltv.com/news/local/orleans/orleans-criminal-court-closed-wednesday-due-to-electrical-problem/387006799,,
1/18/2017,Power in neighborhood knocked out twice,Bird,Bullhead City,AZ,United States,http://www.mohavedailynews.com/news/power-in-neighborhood-knocked-out-twice/article_6564ac2c-de23-11e6-967a-47f098d23699.html,"2,242",
1/17/2017,Flaming crows: bird on wire sparks bushfire,Bird,Tarago,NSW,Australia,http://www.theaustralian.com.au/news/nation/flaming-crows-bird-on-wire-sparks-bushfire/news-story/22148adfcc118eae0ca015ab426392ce,,
1/16/2017,Council addresses Maryville power outages,unknown,Matyville,SC,United States,http://www.southstrandnews.com/council-addresses-maryville-power-outages/article_1731393c-e1af-11e6-b64e-bfd1f25a33a9.html,,
1/16/2017,Squirrel knocks out power to homes north of Ketchum Sunday,Squirrel,Ketchum,ID,United States,http://www.mtexpress.com/news/ketchum/squirrel-knocks-out-power-to-homes-north-of-ketchum-sunday/article_3d203cc2-dc34-11e6-9afe-eb6c5b26480d.html,1371,240
1/14/2017,Hundreds still without power,Squirrel,Salem,MO,United States,http://www.kspr.com/content/news/Hundreds-still-without-power-410751025.html,,
1/13/2017,Swan holds up train by waddling on the track for two miles,Bird,Teddington,,United Kingdom,http://metro.co.uk/2017/01/13/swan-holds-up-train-by-waddling-on-the-track-for-two-miles-6380202/,,
1/12/2017,Squirrel kills power to downtown White River Junction,Squirrel,White River Junction,VT,United States,https://dailyuv.com/news/881236,,
1/12/2017,Squirrels send Strand off center over holiday lights,Squirrel,Plattsburgh,NY,United States,http://www.pressrepublican.com/news/local_news/squirrels-send-strand-off-center-over-holiday-lights/article_8ee09271-d2a7-5190-a9c5-483d9ff4f6a7.html,,
1/11/2017,Squirrel blamed for power outage,Squirrel,Manhattan,KS,United States,http://themercury.com/articles/squirrel-blamed-for-power-outage,1300,130
1/6/2017,"Swan causes power cut in 9,000 Fermanagh homes",Bird,Enniskillen,,Northern Ireland,http://www.bbc.com/news/uk-northern-ireland-38534122,9000,
1/6/2017,"After leaves on the line stopping trains, now it’s birds on a wire causing power cuts",Bird,Tewkesbury,,United Kingdom,http://www.gloucestershirelive.co.uk/after-leaves-on-the-line-stopping-trains-now-it-8217-s-birds-on-a-wire-causing-power-cuts/story-30034051-detail/story.html,,
1/5/2017,Outage was caused by a squirrel,Squirrel,Santa Clara,CA,United States,https://twitter.com/SantaClaraPower/status/817094874491035648,39,
1/4/2017,Flaming crows: bird on wire sparks bushfire,Bird,Tarago,NSW,Australia,http://www.theaustralian.com.au/news/nation/flaming-crows-bird-on-wire-sparks-bushfire/news-story/22148adfcc118eae0ca015ab426392ce,,
1/4/2017,Snake electrocuted in Ubud during electrical explosion,Snake,Ubud,Bali,Indonesia,http://bali.coconuts.co/2017/01/03/snake-electrocuted-ubud-during-electrical-explosion,,
1/4/2017,Squirrel triggers power outage in New Hampshire,Squirrel,Exeter,NH,United States,http://www.washingtontimes.com/news/2017/jan/4/squirrel-triggers-power-outage-in-new-hampshire/,5000,
1/3/2017,Thousands without power for two hours Tuesday afternoon,Bird,Elko,NV,United States,http://elkodaily.com/news/local/thousands-without-power-for-two-hours-tuesday-afternoon/article_0f7bf12f-dffa-5678-8c6c-b65cf51b1069.html,11600,120
1/2/2017,Squirrel knocks out power in Wallingford,Squirrel,Walingford,CT,United States,http://www.myrecordjournal.com/news/wallingford/wallingfordnews/9803546-154/squirrel-knocks-out-power-in-wallingford.html,100,30
1/1/2017,"Update-Area outage-Wilmington-North St-Squirrel into transformer blew a fuse, Fuse replaced and power restored.",Squirrel,Wilmington,MA,United States,https://twitter.com/readinglight/status/815539155916701697,,
12/30/2016,Squirrel Causes Grass Fire In West Fork,Squirrel,West Fork,AR,United States,http://5newsonline.com/2016/12/30/squirrel-causes-grass-fire-in-west-fork/,,
12/30/2016,Squirrel blamed for grass fire in Dakota City,Squirrel,Dakota City,NE,United States,http://siouxlandnews.com/news/local/squirrel-blamed-for-grass-fire-in-dakota-city,,
12/29/2016,Squirrel Knocks Out Power,Squirrel,Westport,CT,United States,http://www.westportnow.com/index.php?/v3/comments/squirrel_knocks_out_power/,80,97
12/27/2016,"All power has been restored to the Benchley area, a squirrel caused the outage. Thank you for your patience. #btualerts",Squirrel,Benchley,TX,United States,https://twitter.com/btu_bryantx/status/813788979485114370,,
12/26/2016,"Power Restored at Taylor County Sheriff's Office, Squirrel to Blame",Squirrel,Abilene,TX,United States,http://www.bigcountryhomepage.com/news/breaking-news/power-out-at-taylor-county-sherifs-office-911-still-working/631678123,,
12/22/2016,Squirrel causes minor outage,Squirrel,Odessa,TX,United States,http://m.oaoa.com/news/local/article_a0aa8dd6-c89a-11e6-a0eb-738bf2a5a89d.html?mode=jqm,,
12/21/2016,Power outage Tuesday caused by tractor-trailer accident,Squirrel,Columbia,MO,United States,http://www.columbiatribune.com/news/local/power-outage-tuesday-caused-by-tractor-trailer-accident/article_3bb24c16-0a0e-5f2f-8890-6909e5e528ea.html,48,40
12/19/2016,"Squirrel, Crash Knocks Out Power To Thousands",Squirrel,Nashville,TN,United States,http://www.newschannel5.com/news/power-knocked-out-for-thousands-monday,,
12/17/2016,Tusker electrocuted near Bengaluru,Elephant,Bengaluru,,India,http://www.thehindu.com/news/national/karnataka/Tusker-electrocuted-near-Bengaluru/article16869868.ece,,
12/16/2016,Sitka-wide outage traced to transmission line,Bird,Sitka,AK,United States,http://www.kcaw.org/2016/12/16/sitka-wide-outage-traced-transmission-line/,112,
12/15/2016,Confused beaver chews power pole instead of tree,Beaver,Grand Rapids,MN,United States,http://www.kare11.com/mb/news/weird/confused-beaver-chews-power-pole-instead-of-tree/370763906,,
12/14/2016,Power restored in Ardmore. Outage caused by a squirrel in the substation.,Squirrel,Ardmore,OK,United States,https://twitter.com/ogande/status/809077948364062720,,
12/14/2016,A pack of 'savage squirrels' has taken out the holiday lights at Mel Lastman Square,Squirrel,Toronto,ON,Canada,http://www.cbc.ca/beta/news/canada/toronto/a-pack-of-savage-squirrels-has-taken-out-the-holiday-lights-at-mel-lastman-square-1.3893710,,
12/14/2016,"Fish, not bird, on wire causes S. Seattle power outage",Bird,Seattle,WA,United States,http://komonews.com/news/local/fish-not-bird-on-wire-causes-s-seattle-power-outage,172,
12/12/2016,Der Marder hat zugebissen,Marten,Senden,,Germany,http://www.wn.de/Muensterland/Kreis-Coesfeld/Senden/2631452-Erneuter-Glasfaser-Ausfall-Der-Marder-hat-zugebissen,,
12/12/2016,Squirrels are ruining the lights on the Common Christmas tree,Squirrel,Boston,MA,United States,http://www.bostonglobe.com/metro/2016/12/12/boston-common-squirrels-nuts-wires-for-holiday-lights/rhgOlIfgTQbUqjyLTCY07N/story.html,,
12/12/2016,"Power failure affects 1,534 customers in Pendleton",Bird,Pendelton,OR,United States,http://www.eastoregonian.com/eo/local-news/20161212/power-failure-affects-1534-customers-in-pendleton,1534,259
12/10/2016,"FIREMAN, WHO DIED RESCUING BIRD, GETS GUARD OF HONOUR",Bird,Byculla,,India,http://mumbaimirror.indiatimes.com/mumbai/other/fireman-who-died-rescuing-bird-gets-guard-of-honour/articleshow/56285565.cms,,
12/10/2016,"should be restored now, squirrel came in contact with equipment that caused outage.",Squirrel,Witchita,KS,United States,https://twitter.com/WestarEnergy/status/807621077400768512,,
12/10/2016,Squirrel blamed for fire at PPL substation,Squirrel,Allentown,PA,United States,http://www.mcall.com/news/breaking/mc-downtown-allentown-power-outage-20161210-story.html,5343,150
12/9/2016,Squirrel causes power outage,Squirrel,Sunnyside,WA,United States,http://www.dailysunnews.com/news/2015/dec/29/squirrel-causes-power-outage/,1800,45
12/8/2016,"Squirrel KOs Power, Leaves Belle Plaine, Area in the Dark",Squirrel,Belle Plaine,MN,United States,http://belleplaineherald.com/Content/News/News/Article/Squirrel-KOs-Power-Leaves-Belle-Plaine-Area-in-the-Dark/7/48/8826,3200,
12/8/2016,"Squirrel causes power loss to 1,100 Huntingdon customers",Squirrel,Huntingdon,,United Kingdom,http://www.bbc.com/news/uk-england-norfolk-38253074,1100,
12/7/2016,Flying turkeys cause power outages in east Medford,Bird,Medford,OR,United States,http://www.mailtribune.com/news/20161208/flying-turkeys-cause-power-outages-in-east-medford,,
12/7/2016,"Animal blamed for power outage affecting 6,000 customers",Unknown,Monson,MA,United States,http://wwlp.com/2016/12/07/more-than-6000-without-power-in-monson-palmer-brimfield-and-wales/,6170,
12/5/2016,UPDATE: Blame squirrel for downtown power failure,Squirrel,Kansas City,MO,United States,http://www.bizjournals.com/kansascity/news/2016/12/05/downtown-kansas-city-power-outage.html,,
12/5/2016,The Village residents left in dark during Bedlam game due to power outage,Squirrel,The Village,OK,United States,http://www.koco.com/article/the-village-residents-left-in-dark-during-bedlam-game-due-to-power-outage/8468063,3000,
12/4/2016,Flying turkeys cause power outages in east Medford,Bird,Medford,OR,United States,http://www.mailtribune.com/news/20161208/flying-turkeys-cause-power-outages-in-east-medford,,
12/2/2016,Squirrel the culprit behind outage at top of Keene Christmas tree,Squirrel,Keene,NH,United States,http://www.sentinelsource.com/news/local/squirrel-the-culprit-behind-outage-at-top-of-keene-christmas/article_0fcee0c6-3e2a-5743-ab14-908cb10a156a.html,,
12/2/2016,Community Christmas Tree is one for the squirrels,Squirrel,Duluth,MN,United States,http://www.duluthbudgeteer.com/community/4171139-community-christmas-tree-one-squirrels,,
12/2/2016,Update: Power has been restored in most of Salina area,unknown,Salina,KS,United States,http://salinapost.com/2016/12/02/power-outage-impacts-salina-area/,4000,
11/29/2016,Flying turkeys cause power outages in east Medford,Bird,Medford,OR,United States,http://www.mailtribune.com/news/20161208/flying-turkeys-cause-power-outages-in-east-medford,,
11/29/2016,Re-train failure after steenmarter track cable broken gnaws,Marten,Aalten,,Netherlands,http://www.gelderlander.nl/regio/achterhoek/winterswijk/opnieuw-treinuitval-nadat-steenmarter-spoorkabel-kapot-knaagt-1.6692365,,
11/29/2016,Multiple schools impacted by power outages,Squirrel,Birbingham ,AL,United States,http://www.wvtm13.com/article/new-blood-test-may-predict-if-you-ll-be-alive-in-5-years/8376805,,
11/27/2016,"What was to blame for powercut to 18,000 properties in Winchester?",Bird,Winchester,,United Kingdom,"What was to blame for powercut to 18,000 properties in Winchester?",18000,
11/26/2016,A bird has hit a power line on 1st avenue south causing a small fire.,Bird,Vauxhall,AB,Canada,http://emergencyalert.alberta.ca/alerts/2016/11/4125.html,,
11/26/2016,Power has been restored to Brodie Ln/Deer Ln/MOPAC/Convict Hill area. Outage was caused by a squirrel.,Squirrel,Austin,TX,United States,https://twitter.com/austinenergy/status/802532891670564864,,
11/26/2016,SUNRISE MALL IN MASSAPEQUA LOSES POWER AFTER ANIMAL GETS INTO SUBSTATION,unknown,Massapequa,NY,United States,http://abc7ny.com/news/power-goes-out-at-sunrise-mall/1626695/,2000,48
11/25/2016,Goose caused power outage,Bird,Waterloo,ON,Canada,http://www.therecord.com/news-story/6987650-goose-caused-power-outage/,,45
11/25/2016,KU OFFICIALS: SQUIRREL CAUSED LEXINGTON POWER OUTAGE,Squirrel,Lexington,KY,United States,http://www.wtvq.com/2016/11/23/lexington-power-outage-leaves-thousands-without-power-traffic-lights/,,
11/25/2016,Magpie kills power to thousands of homes,Bird,Manawatu,,New Zealand,http://www.newstalkzb.co.nz/news/national/magpie-kills-power-to-thousands-of-homes/,3000,
11/24/2016,Squirrel carves problems for ‘Turkey Day’,Squirrel,Cleveland,TN,United States,"http://clevelandbanner.com/stories/squirrel-carvesproblems-forturkey-day,47686",,90
11/24/2016,Hundreds without power on Thanksgiving,unknown,Rockingham,VA,United States,http://www.whsv.com/content/news/Hundreds-without-power-on-Thanksgiving-402856446.html,,
11/24/2016,UPDATE: Power restored to NW Wichita. Squirrel was the cause of the outage.,Squirrel,Wichita,KS,United States,https://twitter.com/KSNNews/status/801877501425451008,,
11/24/2016,Current outage in Maynard was caused by a squirrel in contact with our equipment. ETR is 10:45 AM.,Squirrel,Maynard,MA,United States,https://twitter.com/EversourceMA/status/801796362757111810,,
11/24/2016,Cat causes power outage in Ashburton,Cat,Ashburton,,New Zealand,http://www.stuff.co.nz/the-press/news/mid-canterbury-selwyn/86813004/Cat-causes-power-outage-in-Ashburton,70,
11/22/2016,"Power restored in the Hastings College, Lake Hastings areas",Squirrel,Hastings,NE,United States,http://www.nbcneb.com/content/news/Hastings-College-Lake-Hastings-residents-without-power-Hastings-Utilities-investigating-402486076.html,,55
11/22/2016,Thousands in north Valley without power,unknown,Glendale,AZ,United States,http://www.azcentral.com/story/news/local/phoenix/2016/11/22/thousands-north-valley-without-power/94320666/,5000,
11/22/2016,FRESNO CAT RESCUED AFTER DAYS ON TOP OF A POWER POLE,Cat,Fresno,CA,United States,http://abc30.com/pets/fresno-cat-rescued-after-days-on-top-of-a-power-pole/1621167/,250,
11/21/2016,Weasel Season II,Marten,Geneva,,Switzerland,https://web.archive.org/web/20161127211018/https://indico.cern.ch/event/576259/contributions/2331967/attachments/1374360/2086546/2016.11.21-morning-meeting.WE.pdf,,
11/17/2016,UPDATE: Squirrel caused Helena power outage.,Squirrel,Helana,MT,United States,http://helenair.com/news/local/update-squirrel-caused-helena-power-outage/article_c9c36899-6673-5e7d-b1e8-c6ac9b999828.html,3100,
11/16/2016,Trains in south east London delayed by a 'trapped squirrel',Squirrel,London,England,United Kingdom,http://www.itv.com/news/london/2016-11-16/trains-in-south-east-london-delayed-by-a-trapped-squirrel/,,
11/14/2016,All power was restored in #Kissimmee at 7:54 a.m. Cause of outage: squirrel.,Squirrel,Kissimmee,FL,United States,https://twitter.com/kuadirect/status/796337490697289728,,
11/14/2016,"Squirrel causes Denver, 9NEWS power outage",Squirrel,Denver,CO,United States,http://www.9news.com/news/local/power-out-for-7500-in-denver-including-9news/351708198,7481,
11/14/2016,Squirrel causes power outage,Squirrel,Lockport,NY,United States,http://www.lockportjournal.com/news/local_news/squirrel-causes-power-outage/article_ddf289a7-2c55-511e-b69c-8e7ade93221a.html,42,37
11/13/2016,Rochelle Municipal Utilities,Squirrel,Rochelle,IL,United States,https://www.facebook.com/rochellemunicipalutilities/posts/1165062146910662,450,
11/10/2016,"Squirrel blamed for causing fire, power outage in Wellington",Squirrel,Wellington,KS,United States,http://www.kwch.com/content/news/Squirrel-blamed-for-causing-fire-Wellington-power-outage-400782101.html,,
11/9/2016,"Brief power outage caused by animal, ACE says",unknown,Upper Pittsgrove,NJ,United States,http://www.nj.com/salem/index.ssf/2016/11/brief_power_outage_caused_by_animal_ace_says.html,3900,
11/8/2016,Power trouble at Frederick County polling place traced to squirrel,Squirrel,Fredrick,MD,United States,http://www.fredericknewspost.com/news/continuing_coverage/election_2016/power-trouble-at-frederick-county-polling-place-traced-to-squirrel/article_73222711-7d40-5bb1-933b-1367d04f2ed2.html,,
11/7/2016,Awkward' swan on line causes delays on South West Trains,Bird,Feltham,,United Kingdom,http://www.bbc.com/news/uk-england-37895403,,
11/7/2016,Squirrel blamed for Missoula power outage,Squirrel,Missoula,MT,United States,http://www.kpax.com/story/30464085/squirrel-blamed-for-missoula-power-outage,,
11/4/2016,Flying turkeys cause power outages in east Medford,Bird,Medford,OR,United States,http://www.mailtribune.com/news/20161208/flying-turkeys-cause-power-outages-in-east-medford,,
11/4/2016,Squirrel cause of Thursday morning power outage,Squirrel,Marshal,MN,United States,http://www.marshallindependent.com/page/content.detail/id/590860/,,
11/4/2016,Outage:  City of Estevan.  Cause:  Bird in Sub Station.  All power restored. #skoutage,Bird,Estevan,SK,Canada,https://twitter.com/saskpower/status/794653619467341824,,
11/4/2016,Animal blamed for brief Greene Co. power outage,unknown,Beavercreek,OH,United States,http://www.whio.com/news/local/animal-blamed-for-brief-greene-power-outage/MDBOeKZPh4t34grJlMByoK/,6700,
11/3/2016,Power Outage In Lakeview,Squirrel,Lakeview,MI,United States,http://wbckfm.com/power-outage-in-lakeview/,,
11/3/2016,Squirrel cuts power in Manitowoc Thursday,Squirrel,Manitowoc,WI,United States,http://www.htrnews.com/story/news/local/2016/11/03/squirrel-cuts-power-manitowoc-thursday/93249266/,1500,60
11/3/2016,Bird Leads to Power Outage in Brockton,Bird,Brockton,MA,United States,http://patch.com/massachusetts/brockton/bird-leads-power-outage-brockton,12,120
11/2/2016,Power loss in N. Canton area blamed on squirrel,Squirrel,Canton,OH,United States,http://www.cantonrep.com/news/20161102/power-loss-in-n-canton-area-blamed-on-squirrel,5100,60
11/2/2016,Squirrel causes power outage in Pinewood this mornin,Squirrel,Pinewood,ON,Canada,http://www.kissnorthbay.com/2016/11/02/squirrel-causes-power-outage-pinewood-morning/,500,20
10/31/2016,Squirrel responsible for power outage in South Pittsburg. Power should be back on around 5:30 CDT.,Squirrel,South Pittsburg,TN,United States,https://twitter.com/svalleyec/status/793202957756039174,,
10/31/2016,Squirrel responsible for power outage at Miami County elections board,Squirrel,Troy,OH,United States,http://www.mydaytondailynews.com/news/news/local/squirrel-responsible-for-power-outage-at-miami-cou/ns2Zr/,,
10/31/2016,Bathurst power outage caused by bird strike,Bird,Bathurst,NSW,Australia,http://www.westernadvocate.com.au/story/4262819/flock-of-birds-blamed-for-power-outage-photos/,,
10/30/2016,Tournai: A madman responsible for a huge power cut,marten,Tournai,,Belgium,http://www.dhnet.be/regions/tournai-ath-mouscron/tournai-une-fouine-responsable-d-une-enorme-coupure-de-courant-585c17abcd70b7ef93e4ae1e,20000,
10/30/2016,"Squirrel, tree limbs to blame for outages in Grand Haven and Ferrysburg",Squirrel,Grand Haven,MI,United States,http://www.grandhaventribune.com/Law-Enforcement/2016/10/30/Squirrel-tree-limbs-to-blame-for-outages-in-Grand-Haven-and-Ferrysburg.html?ci=stream&lp=3&p=1,1450,120
10/29/2016,Meeting Watch: Floresville Electric Light & Power System (FELPS),Squirrel,Stockdale,TX,United States,Meeting Watch: Floresville Electric Light & Power System (FELPS),,
10/29/2016,Power Restored Following Morning Outage in Geneva Caused by Squirrel on Power Line,Squirrel,Geneva,IL,United States,http://patch.com/illinois/geneva/significant-power-outage-reported-geneva?utm_content=buffere07ba,1173,
10/27/2016,Power Outage,Squirrel,Purcell,OK,United States,http://www.purcellregister.com/news/article_7ee988e4-9bab-11e6-9491-c393acc2f24d.html,,
10/26/2016,"Possum dies after ""fire"" around power pole",Possum,Mackay,QSL,Australia,http://www.dailymercury.com.au/news/possum-dies-after-fire-around-power-pole/3104525/,,
10/25/2016,Snake cause darkness,Snake,Weltevredenpark,,South Africa,http://roodepoortnorthsider.co.za/238237/snake-cause-darkness/,,
10/25/2016,Power restored to thousands in Greenville and Pickens,Squirrel,Greenville,SC,United States,http://www.greenvilleonline.com/story/news/2016/10/25/thousands-lose-power-greenville-and-pickens/92716408/,7400,61
10/25/2016,WILDLIFE THE CAUSE OF A KELOWNA POWER OUTAGE,unknown,Kelowna,BC,Canada,http://www.iheartradio.ca/am-1150/news/wildlife-the-cause-of-a-kelowna-power-outage-1.2097071,320,270
10/24/2016,Squirrel Caused Widespread Power Outages at UConn That Canceled Classes,Squirrel,Storrs,CT,United States,http://www.nbcconnecticut.com/news/local/Circuit-Failure-Causes-Widespread-Power-Outage-on-UConn-Campus-398199261.html,,210
10/24/2016,Downtown power outage blamed on squirrel,Squirrel,Grand Haven,MI,United States,http://www.grandhaventribune.com/Local/2016/10/24/Downtown-power-outage-blamed-on-squirrel.html,3650,60
10/24/2016,"Animals blamed for power outages in Benton, Crawford Counties",unknown,Rogers,AR,United States,http://www.4029tv.com/article/power-outages-reported-in-benton-county/7146566,1400,
10/24/2016,"Animals blamed for power outages in Benton, Crawford Counties",unknown,Springfield,AR,United States,http://www.4029tv.com/article/power-outages-reported-in-benton-county/7146566,500,30
10/23/2016,Yakima neighborhood's power restored,Bird,Yakima,WA,United States,http://www.yakimaherald.com/news/local/yakima-neighborhood-s-power-restored/article_7fc1a61e-99af-11e6-ae00-b7085f8b88d9.html,840,70
10/22/2016,Squirrel causes power outages across campus,Squirrel,Athens,OH,United States,http://www.thepostathens.com/article/2016/10/campus-power-outage-squirrel,,
10/22/2016,Hungry python triggers power blackout,Snake,Katherine,NT,Australia,http://www.katherinetimes.com.au/story/4244419/hungry-snake-takes-down-town/?cs=1459,,30
10/21/2016,Meet the slimeballs who are openly sabotaging Virgin Media,Slug,Donnington,Telford,England,https://www.theregister.co.uk/2016/10/21/snail_sabotage_virgin_cabinet/,,
10/21/2016,A Bird And A Squirrel Cause Power Outages,Bird,Alliance,NE,United States,http://alliancetimes.com/a-bird-and-a-squirrel-cause-power-outages/,,30
10/21/2016,A Bird And A Squirrel Cause Power Outages,Squirrel,Alliance,NE,United States,http://alliancetimes.com/a-bird-and-a-squirrel-cause-power-outages/,4,20
10/20/2016,"Power restored to nearly 27,000 Denver and Aurora residents after raccoon trips transformer",Raccoon,Denver,CO,United States,http://www.denverpost.com/2016/10/21/aurora-power-outage-raccoon-electrocuted/,27000,
10/19/2016,PBOT found that ants infested the signal control.,Insects,Portland,OR,United States,https://twitter.com/sellwoodbridge/status/788779089486225408,,
10/18/2016,Squirrel causes city-wide power outage Tuesday morning,Squirrel,Powell,WY,United States,http://www.powelltribune.com/news/item/15346-squirrel-causes-city-wide-power-outage-tuesday-morning,,25
10/18/2016,Curious Critter Zaps Electricity in Stafford,Unknown,Stafford,TN,United States,http://thesandpaper.villagesoup.com/p/curious-critter-zaps-electricity-in-stafford/1586525,6617,
10/17/2016,Bird causes hour-long outage,Bird,Sierra Vista,AZ,United States,http://www.svherald.com/breaking/bird-causes-hourlong-outage/article_25f5132a-948a-11e6-a6d3-3fb4bfadcb73.html,,
10/17/2016,Outage due to animal contact. Crews are working to restore power.,Unknown,Burlington,VT,United States,https://twitter.com/BurlingtonElec/status/788042662519660544,,
10/16/2016,Outage cause: Squirrel entangled in power lines at utility pole on Hoagland Blvd. Squirrel deceased.,Squirrel,Kissimmee,FL,United States,https://twitter.com/KUAdirect/status/787641825402167300,,
10/16/2016,Power restored after outage in several Syracuse neighborhoods,Squirrel,Syracuse,NY,United States,http://www.localsyr.com/news/local-news/power-outage-impacts-parts-of-syracuse,3000,
10/16/2016,Squirrel causes power outage,Squirrel,Summit Township,PA,United States,http://www.meadvilletribune.com/news/squirrel-causes-power-outage/article_df6ee4c2-93ca-11e6-a6ea-ff0d3bc19ec9.html,367,
